AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A1389865,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,2022-07-27,3 YEARS,2025-07-27,MED EMERG,STRAY,FIELD,,2025-07-27,DIED,,MED EMERG,KING RD,SAN JOSE,2025-07-29
A1389866,,OTHER,GRAY,,RABBIT SH,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,FIELD,,2025-07-27,DISPOSAL,,DEAD,CROPLEY CT,SAN JOSE,2025-07-27
A1389867,,CAT,CALICO-DIL,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,FIELD,,2025-07-27,DISPOSAL,,DEAD,PIEDMONT / NOBLE,SAN JOSE,2025-07-27
A1389868,,CAT,PT-LYNX,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,FIELD,,2025-07-27,DISPOSAL,,DEAD,PENITENCIA CREEK,SAN JOSE,2025-07-27
A1389877,,CAT,TORTIE-B\O,,DOMESTIC MH,FEMALE,2025-05-27,4 MONTHS,2025-07-27,MED R,STRAY,MEDVET,,2025-07-31,TRANSFER,,MED R,1400 BLOCK KINSPORT LN,SAN JOSE,2025-07-31
A1389878,HONEY,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2025-05-27,4 MONTHS,2025-07-27,MED R,STRAY,OTC,,2025-08-08,ADOPTION,,MED R,BLK 1200 CARNELIAN DR,SAN JOSE,2025-08-08
A1389879,,CAT,PT-SEAL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-27,PREGNANT,STRAY,OTC,,2025-07-29,RTF,,FERAL,WILLIAMSBURG DR/WINCHESTER BLVD,SAN JOSE,2025-07-29
A1389880,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,2025-05-27,9 WEEKS,2025-07-21,MED SEV,STRAY,OTC,,2025-07-27,EUTH,,MED SEV,5700 BLOCK WINFIELD BLVD,SAN JOSE,2025-07-27
A1389881,,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2024-07-27,1 YEAR,2025-07-27,MED SEV,STRAY,MEDVET,,2025-07-27,EUTH,,MED SEV,KING X LAS PLUMAS,SAN JOSE,2025-07-27
A1389882,,CAT,GRAY,,DOMESTIC SH,FEMALE,2024-07-27,1 YEAR,2025-07-21,MED SEV,STRAY,MEDVET,,2025-07-27,EUTH,,MED SEV,CALVERT DR,SAN JOSE,2025-07-27
A1389883,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,2024-07-27,1 YEAR 2 MONTHS,2025-07-21,MED SEV,STRAY,OTC,,2025-07-27,EUTH,,MED SEV,HYDE / BOLLINGER,SAN JOSE,2025-09-16
A1389884,LISA,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2023-07-27,2 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,2025-07-29,RTO,,HEALTHY,COE AVE X LINCOLN AVE,SAN JOSE,2025-07-29
A1389885,HAZEL,DOG,TAN,,CHIHUAHUA LH,SPAYED,2022-07-27,3 YEARS,2025-07-27,HEALTHY,STRAY,FIELD,,2025-08-13,ADOPTION,,HEALTHY,ALMADEN EXPY X MCABEE RD,SAN JOSE,2025-08-13
A1389886,NORDALE AVE,CAT,BLACK,,DOMESTIC SH,SPAYED,2023-01-01,2 YEARS,2025-07-27,MED SEV,STRAY,OTC,,2025-07-27,EUTH,,MED SEV,NORDALE AVE/ROCK SPRINGS DR,SAN JOSE,2025-07-27
A1389887,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-05-19,11 WEEKS,2025-07-27,MED SEV,STRAY,OTC,,2025-07-29,EUTH,,MED SEV,N WHITE RD/ALVIENA DR,SAN JOSE,2025-08-05
A1389888,ODYSSEUS,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2025-05-19,4 MONTHS,2025-07-27,MED SEV,STRAY,OTC,,2025-08-24,ADOPTION,,MED SEV,N WHITE RD/ALVIENA DR,SAN JOSE,2025-08-24
A1389889,,CAT,WHITE,ORANGE,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,FIELD,,,,,,EASTON / GIMELLI,SAN JOSE,2025-07-29
A1389891,,BIRD,BROWN,,SPARROW,UNKNOWN,,NO AGE,2025-07-27,MED R,WILDLIFE,OTC,,2025-07-27,TRANSFER,,MED R,LA TERRACE CIR,SAN JOSE,2025-07-27
A1389892,ORVILLE PECK,OTHER,GOLD,WHITE,RABBIT SH,MALE,2023-07-28,2 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,,,,,STORY X N LUCRETIA,SAN JOSE,2025-09-26
A1389893,,CAT,BLACK,,DOMESTIC SH,SPAYED,2025-07-21,10 WEEKS,2025-07-27,NURSING,STRAY,OTC,,2025-09-24,ADOPTION,,HEALTHY,JASPER ST/HERALD AVE,SAN JOSE,2025-09-24
A1389895,WOODY,DOG,TAN,,DACHSHUND,NEUTERED,2021-07-27,4 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,2025-08-07,ADOPTION,,HEALTHY,EASTRIDGE DR X MCKEE RD,SAN JOSE,2025-08-07
A1389896,,DOG,WHITE,,GERM SHEPHERD,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,OTC,,2025-07-27,DISPOSAL,,DEAD,CARMEL DR/NEVADA AVE,SAN JOSE,2025-07-27
A1389897,,CAT,PT-CHOC,,DOMESTIC SH,NEUTERED,2019-07-27,6 YEARS,2025-07-27,MED R,STRAY,OTC,,2025-08-05,RTF,,MED R,N 15TH ST X E ST JAMES ST,SAN JOSE,2025-08-15
A1389898,,DOG,BLACK,TAN,IRISH TERRIER,MALE,2022-07-27,3 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,2025-07-31,RESCUE,,HEALTHY,STORY X WHITE RD,SAN JOSE,2025-07-31
A1389899,,DOG,BROWN,WHITE,IRISH TERRIER,FEMALE,2022-07-27,3 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,2025-07-31,RESCUE,,HEALTHY,STORY X WHITE RD,SAN JOSE,2025-07-31
A1389900,,DOG,WHITE,,WELSH CORGI PEM,MALE,2024-07-27,1 YEAR 2 MONTHS,2025-07-27,HEALTHY,CONFISCATE,POLICE,,,,,,,SAN JOSE,2025-08-24
A1389901,RIGBY,DOG,BROWN,,WELSH CORGI PEM,NEUTERED,2024-07-27,1 YEAR 2 MONTHS,2025-07-27,HEALTHY,CONFISCATE,POLICE,,2025-08-20,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-20
A1389902,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-27,DEAD,DISPO REQ,OTC,,2025-07-27,DISPOSAL,,DEAD,POMONA AVE,SAN JOSE,2025-07-27
A1389903,BLACKY,CAT,BLACK,,DOMESTIC SH,SPAYED,2025-05-13,4 MONTHS,2025-07-27,MED R,STRAY,OTC,,2025-08-10,ADOPTION,,MED R,MATTERHORN CT/MT SHASTA AVE,MILPITAS,2025-08-10
A1389904,BUTTONS,DOG,WHITE,,CHIHUAHUA SH,FEMALE,2024-07-30,1 YEAR 2 MONTHS,2025-07-27,MED R,STRAY,FIELD,,2025-08-04,TRANSFER,,MED R,YAKIMA CIR X SHADOWFAX DR,SAN JOSE,2025-08-04
A1389905,SIETE,DOG,BLACK,BROWN,CHIHUAHUA SH,NEUTERED,2024-07-27,1 YEAR 2 MONTHS,2025-07-27,HEALTHY,STRAY,FIELD,,2025-08-09,ADOPTION,,HEALTHY,MACKLIN CT / GLEN FIRTH DR,SAN JOSE,2025-08-09
A1389906,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,2025-02-27,5 MONTHS,2025-07-27,DEAD,DISPO REQ,OTC,,2025-07-27,DISPOSAL,,DEAD,DOVER WAY/HIGHWOOD DR,SAN JOSE,2025-07-27
A1389907,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-27,MED SEV,STRAY,OTC,,2025-07-27,EUTH,,MED SEV,FLICKINGER AVE/BERRYESSA RD,SAN JOSE,2025-07-27
A1389908,GUERA,DOG,BROWN,WHITE,BORDER COLLIE,FEMALE,2023-07-27,2 YEARS,2025-07-27,HEALTHY,STRAY,OTC,,,,,,TULLY RD/CAPITOL EXPY,SAN JOSE,2025-08-02
A1389909,,DOG,BROWN,WHITE,PIT BULL,MALE,2024-11-27,10 MONTHS,2025-07-27,HEALTHY,STRAY,OTC,,,,,,BERRYESSA/CAPITOL,SAN JOSE,2025-08-01
A1389910,OREO,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2025-07-06,12 WEEKS,2025-07-27,NURSING,STRAY,OTC,,2025-08-30,ADOPTION,,HEALTHY,GUANDABERT X MUIRHOUSE PL,SAN JOSE,2025-08-30
A1389911,BOB,CAT,ORANGE,WHITE,DOMESTIC SH,NEUTERED,2025-07-01,13 WEEKS,2025-07-27,MED R,STRAY,FIELD,,2025-08-29,ADOPTION,,MED R,MABURY RD/ CREEKLAND CIR,SAN JOSE,2025-08-29
A1389912,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,2025-07-01,4 WEEKS,2025-07-27,NURSING,STRAY,FIELD,,2025-07-28,DIED,,NURSING,MABURY RD/ CREEKLAND CIR,SAN JOSE,2025-07-30
A1389913,,BIRD,BROWN,,HAWK,UNKNOWN,,NO AGE,2025-07-28,MED R,WILDLIFE,FIELD,,2025-07-28,TRANSFER,,MED R,GLENVIEW DR,MILPITAS,2025-07-28
A1389914,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2025-07-28,MED R,WILDLIFE,OTC,,2025-07-28,TRANSFER,,MED R,RIMWOOD DR/RIDGEWOOD DR,SAN JOSE,2025-07-28
A1389922,KING,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-04-22,5 MONTHS,2025-07-28,MED R,STRAY,MEDVET,,2025-08-16,ADOPTION,,HEALTHY,MCKEE RD / N 33RD ST,SAN JOSE,2025-08-16
A1389923,,BIRD,BLACK,,PHOEBE,UNKNOWN,2024-07-28,1 YEAR 2 MONTHS,2025-07-28,MED R,WILDLIFE,FIELD,,2025-07-28,TRANSFER,,MED R,S 7T ST X E SAN SALVADOR ST,SAN JOSE,2025-07-28
A1389924,,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2024-01-28,1 YEAR 8 MONTHS,2025-07-28,MED R,STRAY,OTC,,2025-09-03,RTF,,MED R,HOCKING WAY/CURTNER AVE,SAN JOSE,2025-09-03
A1389925,,OTHER,GRAY,BLACK,OPOSSUM,UNKNOWN,2024-07-28,1 YEAR,2025-07-28,DEAD,DISPO REQ,FIELD,,2025-07-28,DISPOSAL,,DEAD,GREENLEAF DR / BEARDON DR,CUPERTINO,2025-07-28
A1389926,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,NO AGE,2025-07-28,HEALTHY,STRAY,OTC,,2025-08-01,TRANSFER,,HEALTHY,N FIRST ST/VISTA MONTANA,SAN JOSE,2025-08-16
A1389927,,DOG,BLACK,WHITE,WELSH CORGI PEM,NEUTERED,2013-07-28,12 YEARS,2025-07-27,MED EMERG,STRAY,MEDVET,,2025-07-28,DIED,,MED EMERG,CAPITOL EXPY / PEARL AVE,SAN JOSE,2025-07-30
A1389928,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,2024-07-28,1 YEAR,2025-07-27,MED SEV,STRAY,MEDVET,,2025-07-28,EUTH,,MED SEV,MONTEREY RD,SAN JOSE,2025-07-28
A1389929,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-28,DEAD,DISPO REQ,OTC,,2025-07-28,DISPOSAL,,DEAD,TOMLINSON LN/LIDO WAY,SAN JOSE,2025-07-28
A1389930,HAMBURGER,DOG,BRINDLE-BN,,FRENCH BULLDOG,NEUTERED,2023-07-28,2 YEARS,2025-07-28,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,N 18TH ST,SAN JOSE,2025-08-01
A1389931,,OTHER,GRAY,,OPOSSUM,UNKNOWN,2025-01-28,8 MONTHS,2025-07-28,MED SEV,WILDLIFE,FIELD,,2025-07-28,TRANSFER,,MED SEV,EVANGELINE DR X HANCOCK AVE,SAN JOSE,2025-07-28
A1389932,PLUM,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,2025-06-27,14 WEEKS,2025-07-28,NURSING,STRAY,OTC,,2025-07-31,TRANSFER,,HEALTHY,SUMMERSIDE DR/LUCRETIA AVE,SAN JOSE,2025-07-31
A1389933,,CAT,BLACK,,DOMESTIC SH,FEMALE,,NO AGE,2025-07-28,PREGNANT,STRAY,OTC,,,,,,LEDERER CIR/PIETRO DR,SAN JOSE,2025-08-05
A1389936,,DOG,TRICOLOR,,BEAGLE,NEUTERED,2023-07-28,2 YEARS,2025-07-28,MED R,STRAY,OTC,,2025-08-01,RESCUE,,MED R,DELRIDGE DR/COYOTE CREEK DR,SAN JOSE,2025-08-01
A1389938,,CAT,TABBY-ORG,,DOMESTIC SH,UNKNOWN,2025-05-28,10 WEEKS,2025-07-28,MED SEV,STRAY,OTC,,2025-07-29,DIED,,MED SEV,ALUM ROCK AVE/FLEMING AVE,SAN JOSE,2025-08-05
A1389939,ANNA,CAT,BLACK,,DOMESTIC SH,SPAYED,2025-04-28,5 MONTHS,2025-07-28,MED R,STRAY,OTC,,2025-08-17,ADOPTION,,HEALTHY,ALUM ROCK AVE/FLEMING AVE,SAN JOSE,2025-08-17
A1389940,,CAT,BLACK,,DOMESTIC SH,MALE,2025-05-28,11 WEEKS,2025-07-28,MED SEV,STRAY,OTC,,2025-08-06,DIED,,MED SEV,ALUM ROCK AVE/FLEMING AVE,SAN JOSE,2025-08-13
A1389941,,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2025-05-28,10 WEEKS,2025-07-28,MED SEV,STRAY,OTC,,2025-07-30,EUTH,,MED SEV,ALUM ROCK AVE/FLEMING AVE,SAN JOSE,2025-08-05
A1389942,,CAT,BLACK,,DOMESTIC SH,FEMALE,,NO AGE,2025-07-28,HEALTHY,STRAY,OTC,,2025-08-01,TRANSFER,,HEALTHY,BARBER LN/TAZMAN DR,MILPITAS,2025-08-16
A1389944,,CAT,TABBY-BUFF,,DOMESTIC SH,SPAYED,2025-05-28,4 MONTHS,2025-07-28,MED R,STRAY,OTC,,2025-08-07,ADOPTION,,MED R,YERBA BUENA RD/SAN FELIPE RD,SAN JOSE,2025-08-07
A1389945,FELIPE,DOG,BRINDLE-BN,,FOX TERR SMOOTH,MALE,2025-06-21,15 WEEKS,2025-07-28,MED R,STRAY,OTC,,2025-07-31,TRANSFER,,MED R,BRANHAM LN/HYDE PARK DR,SAN JOSE,2025-07-31
A1389946,,BIRD,BROWN,,HAWK,UNKNOWN,,NO AGE,2025-07-28,MED R,WILDLIFE,FIELD,,2025-07-28,TRANSFER,,MED R,LEEWARD DR,SAN JOSE,2025-07-28
A1389947,,OTHER,GRAY,,MOUSE,UNKNOWN,,NO AGE,2025-07-28,DEAD,DISPO REQ,FIELD,,2025-07-28,DISPOSAL,,DEAD,DEODARA DR/ MERITT DR.,CUPERTINO,2025-07-28
A1389949,BUTTER GILL,DOG,WHITE,TAN,LABRADOR RETR,NEUTERED,2021-07-30,4 YEARS,2025-07-28,HEALTHY,STRAY,OTC,,2025-08-16,ADOPTION,,HEALTHY,3RD ST/E ST JAMES ST,SAN JOSE,2025-08-16
A1389951,ROSCO,DOG,BRINDLE-BN,WHITE,ENG BULLDOG,MALE,2016-07-28,9 YEARS,2025-07-28,MED R,STRAY,FIELD,,2025-07-29,RTO,,MED R,NOYO X COHASSET,SAN JOSE,2025-07-29
A1389953,,OTHER,BROWN,WHITE,SQUIRREL,UNKNOWN,,NO AGE,2025-07-28,MED SEV,WILDLIFE,FIELD,,2025-07-28,TRANSFER,,MED SEV,WEST HILL CT/ W HILL LN,CUPERTINO,2025-07-28
A1389954,ROCCO,DOG,WHITE,BLACK,PARSON RUSS TER,NEUTERED,2024-07-28,1 YEAR 2 MONTHS,2025-07-28,MED R,STRAY,FIELD,,2025-08-21,ADOPTION,,HEALTHY,PENITENCIA CREEK X POPPY,SAN JOSE,2025-08-25
A1389955,LUCIFER,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2024-08-11,1 YEAR 1 MONTH,2025-07-29,HEALTHY,CONFISCATE,POLICE,,2025-07-30,RTO,,HEALTHY,,SAN JOSE,2025-07-31
A1389957,TRAP 1,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-29,FERAL,S/N CLINIC,,,2025-07-29,RTF,,FERAL,,SAN JOSE,2025-07-29
A1389958,TRAP 2,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-29,FERAL,S/N CLINIC,,,2025-07-29,RTF,,FERAL,,SAN JOSE,2025-07-29
A1389959,,CAT,BLACK,,DOMESTIC SH,MALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389960,,CAT,BLACK,,DOMESTIC SH,MALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389961,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389962,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389963,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389964,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-07-28,9 WEEKS,2025-07-29,NURSING,STRAY,OTC,,,,,,BORN IN SHELTER,SAN JOSE,2025-08-05
A1389966,,BIRD,BROWN,,FINCH,UNKNOWN,,NO AGE,2025-07-29,MED SEV,WILDLIFE,MEDVET,,2025-07-29,DIED,,MED SEV,SAN FERNANDO AVE,CUPERTINO,2025-08-05
A1389967,,BIRD,BROWN,,FINCH,UNKNOWN,,NO AGE,2025-07-29,MED R,WILDLIFE,MEDVET,,2025-07-29,TRANSFER,,MED R,SAN FERNANDO AVE,CUPERTINO,2025-07-29
A1389968,JUDY,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,,,,,TULLY / MONTEREY,SAN JOSE,2025-08-19
A1389969,TOOTHLESS,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,2025-09-25,ADOPTION,,HEALTHY,TULLY / MONTEREY,SAN JOSE,2025-09-25
A1389970,BING,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,,,,,TULLY / MONTEREY,SAN JOSE,2025-08-21
A1389971,DEAN,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,,,,,TULLY / MONTEREY,SAN JOSE,2025-08-21
A1389972,MARLON,CAT,TABBY-BRN,,DOMESTIC SH,MALE,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,,,,,TULLY / MONTEREY,SAN JOSE,2025-09-14
A1389973,FRED,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-07-17,11 WEEKS,2025-07-29,NURSING,STRAY,MEDVET,,2025-09-24,ADOPTION,,HEALTHY,TULLY / MONTEREY,SAN JOSE,2025-09-24
A1389976,,CAT,GRAY,WHITE,DOMESTIC SH,UNKNOWN,2025-06-29,4 WEEKS,2025-07-28,MED SEV,STRAY,MEDVET,,2025-07-29,EUTH,,MED SEV,MACDUEE CT,SAN JOSE,2025-07-29
A1392870,SHADOW,DOG,BLACK,WHITE,PIT BULL,MALE,2022-08-31,3 YEARS,2025-07-10,HEALTHY,CONFISCATE,POLICE,,2025-07-16,RTO,,,,SAN JOSE,2025-09-12
A0680192,BORIS,DOG,BLACK,TAN,MIN PINSCHER,SPAYED,2009-09-10,15 YEARS,2025-08-20,DEAD,DISPO REQ,OTC,,2025-08-20,DISPOSAL,,DEAD,S 13TH ST,SAN JOSE,2025-08-20
A0755726,CHULA,DOG,TAN,CREAM,CHIHUAHUA SH,SPAYED,2010-09-28,15 YEARS,2025-09-06,MED R,STRAY,OTC,IP ADOPT,2025-09-07,RTO,,HEALTHY,BERMUDA/CUNNINGHAM AVE,SAN JOSE,2025-09-07
A0759020,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-09-11,MED SEV,STRAY,OTC,,2025-09-11,EUTH,,MED SEV,ALLENWOOD DR X ALLEMWOOD CT,SAN JOSE,2025-09-11
A0778118,ZOEY ROSE,DOG,CHOCOLATE,,LABRADOR RETR,SPAYED,2011-07-16,14 YEARS,2025-07-29,MED M,STRAY,FIELD,,2025-07-29,RTO,,HEALTHY,LEAN AVE X COLVILLE DR,SAN JOSE,2025-07-29
A0798009,,CAT,TABBY-BRN,,DOMESTIC LH,NEUTERED,2012-03-20,13 YEARS,2025-07-31,MED EMERG,STRAY,MEDVET,,2025-07-31,EUTH,,MED EMERG,INNOVATION DR. / ZANKER RD.,SAN JOSE,2025-09-09
A0804291,LEXI,DOG,TAN,,CHIHUAHUA SH,SPAYED,,NO AGE,2025-09-08,DEAD,DISPO REQ,OTC,,2025-09-08,DISPOSAL,,DEAD,,SAN JOSE,2025-09-08
A0807671,DENNY,DOG,BLACK,TRICOLOR,CHIHUAHUA SH,NEUTERED,2012-02-16,13 YEARS,2025-08-06,DEAD,DISPO REQ,OTC OWNED,,2025-08-06,DISPOSAL,,DEAD,,SAN JOSE,2025-08-06
A0822868,RED,DOG,TAN,,PIT BULL,MALE,2012-04-26,13 YEARS,2025-09-05,HEALTHY,STRAY,OTC,IP ADOPT,2025-09-27,RESCUE,,MED M,N CAPITOL AVE/TRADEZONE BLVD,SAN JOSE,2025-09-27
A0826997,ERNIE,DOG,FAWN,,CHIHUAHUA SH,NEUTERED,2012-04-04,13 YEARS,2025-08-01,DEAD,DISPO REQ,OTC OWNED,,2025-08-01,DISPOSAL,,DEAD,,SAN JOSE,2025-08-18
A0836075,REKA,DOG,BLACK,TAN,YORKSHIRE TERR,MALE,2009-09-10,16 YEARS,2025-09-06,MED R,STRAY,OTC,IP ADOPT,2025-09-06,RTO,,MED R,N 6TH ST/JACKSON,SAN JOSE,2025-09-06
A0841063,TABITHA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2013-04-24,12 YEARS,2025-07-30,MED SEV,STRAY,OTC,,2025-07-31,DIED,,MED SEV,GUNTER WAY/COLLEEN DR,SAN JOSE,2025-08-05
A0848031,SAMSON,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2013-04-12,12 YEARS,2025-09-16,MED R,STRAY,MEDVET,IP ADOPT,2025-09-22,RTO,,MED R,SAMSON WAY,SAN JOSE,2025-09-22
A0849894,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-27,MED SEV,STRAY,OTC,,2025-08-27,EUTH,,MED SEV,TULLY RD/FLINT,SAN JOSE,2025-08-27
A0875381,GALEN,CAT,PT-SEAL,,SIAMESE,NEUTERED,2013-07-16,12 YEARS,2025-08-11,DEAD,DISPO REQ,FIELD,,2025-08-11,DISPOSAL,,DEAD,ARMAND DR X BURLEY DR,MILPITAS,2025-08-26
A0877674,BOB,CAT,BLACK,,DOMESTIC SH,NEUTERED,2011-08-25,14 YEARS,2025-08-04,MED SEV,STRAY,OTC,,2025-08-04,EUTH,,MED SEV,MONTEREY RD /UMBARGER RD,SAN JOSE,2025-08-04
A0893003,,CAT,TORTIE-B\O,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-08-29,MED SEV,STRAY,OTC,,2025-08-30,EUTH,,MED SEV,TULLY RD/SHERLOCK DR,SAN JOSE,2025-09-04
A0899254,MINNIE,DOG,BROWN,,CHIHUAHUA LH,FEMALE,2011-06-07,14 YEARS,2025-08-26,MED SEV,OWNER SUR,OTC,,2025-08-30,EUTH,,MED SEV,,SAN JOSE,2025-08-30
A0915069,GRADY,CAT,TABBY-ORG,WHITE,DOMESTIC MH,NEUTERED,2014-07-28,11 YEARS,2025-08-21,MED EMERG,STRAY,OTC,,2025-08-22,EUTH,,MED EMERG,OAKLAND RD/CLUB DR,SAN JOSE,2025-08-25
A0931985,PEBBLES,DOG,BROWN,GOLD,YORKSHIRE TERR,SPAYED,,NO AGE,2025-09-12,MED R,STRAY,OTC,,2025-09-14,RTO,,MED R,GALAHAD AVE/VAN WINKLE LN,SAN JOSE,2025-09-15
A0934826,GRACIE,DOG,BLACK,,POODLE MIN,FEMALE,2014-08-13,11 YEARS,2025-08-24,MED R,STRAY,OTC,,2025-08-28,RTO,,HEALTHY,LOS ESTEROS RD/GRAND BLVD,SAN JOSE,2025-08-28
A0961524,GUERA,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2015-06-06,10 YEARS,2025-09-08,MED SEV,STRAY,OTC,,2025-09-16,ADOPTION,,HEALTHY,N 25TH ST/E ST JAMES ST,SAN JOSE,2025-09-24
A0964127,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-29,MED SEV,STRAY,OTC,,2025-08-30,EUTH,,MED SEV,10300 BLOCK DORIS AVE X WESTBORO,SAN JOSE,2025-08-30
A0964653,ROSS,DOG,TAN,WHITE,DACHSHUND,NEUTERED,2015-06-13,10 YEARS,2025-08-28,DEAD,DISPO REQ,OTC,,2025-08-28,DISPOSAL,,DEAD,RIO BRAVO DR,SAN JOSE,2025-08-28
A0975244,WOWZER,DOG,BLACK,BROWN,CHIHUAHUA SH,NEUTERED,2015-03-21,10 YEARS,2025-08-26,HEALTHY,STRAY,OTC,,2025-08-27,RTO,,HEALTHY,MONTEREY RD/CURTNER,SAN JOSE,2025-08-27
A0979676,,CAT,BLACK,WHITE,DOMESTIC MH,NEUTERED,,NO AGE,2025-08-23,MED SEV,STRAY,OTC,,2025-08-24,EUTH,,MED SEV,ALVERNAZ DR/MCLAUGHLIN AVE,SAN JOSE,2025-08-24
A0991818,,CAT,GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-08-18,MED SEV,STRAY,OTC,,2025-08-18,EUTH,,MED SEV,S 10TH ST/KEYES ST,SAN JOSE,2025-09-04
A0997144,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-09-03,DEAD,DISPO REQ,FIELD,,2025-09-03,DISPOSAL,,DEAD,BLK 1800 MAYALL CT,SAN JOSE,2025-09-03
A1015218,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-08-29,MED SEV,STRAY,FIELD,,2025-08-29,EUTH,,MED SEV,SAWGRASS DR/MERION DR,SAN JOSE,2025-08-29
A1015318,NIKKI,DOG,TRICOLOR,,SIBERIAN HUSKY,SPAYED,2016-04-07,9 YEARS,2025-08-17,DEAD,DISPO REQ,OTC,,2025-08-17,DISPOSAL,,DEAD,,SAN JOSE,2025-08-17
